Year,Month,EDC,Average_Signup_Fee,Median_Signup_Fee,Number_of_Offers,Number_of_EGS,date
2020,5,METED,0.0,0.0,224,54,2020-05-01
2020,6,METED,0.0,0.0,181,53,2020-06-01
2020,7,METED,0.0,0.0,165,52,2020-07-01
2020,8,METED,0.0,0.0,170,53,2020-08-01
2020,9,METED,0.0,0.0,173,54,2020-09-01
2020,10,METED,0.0,0.0,208,55,2020-10-01
2020,11,METED,0.0,0.0,207,55,2020-11-01
2020,12,METED,0.0,0.0,190,55,2020-12-01
2021,1,METED,0.0,0.0,201,55,2021-01-01
2021,2,METED,0.0,0.0,184,53,2021-02-01
2021,3,METED,0.0,0.0,213,53,2021-03-01
2021,4,METED,0.0,0.0,188,52,2021-04-01
2021,5,METED,0.0,0.0,200,52,2021-05-01
2021,6,METED,0.0,0.0,205,52,2021-06-01
2021,7,METED,0.0,0.0,181,52,2021-07-01
2022,6,METED,0.0,0.0,85,39,2022-06-01
2025,10,METED,0.0,0.0,130,21,2025-10-01
2019,9,PECO,87.5,87.5,4,2,2019-09-01
2019,10,PECO,100.0,125.0,3,2,2019-10-01
2019,11,PECO,100.0,125.0,3,2,2019-11-01
2019,12,PECO,100.0,125.0,3,2,2019-12-01
2020,1,PECO,87.5,87.5,2,2,2020-01-01
2020,2,PECO,19.444444444444443,0.0,9,5,2020-02-01
2020,3,PECO,0.0,0.0,12,4,2020-03-01
2020,4,PECO,0.0,0.0,8,3,2020-04-01
2020,5,PECO,0.0,0.0,6,3,2020-05-01
2020,6,PECO,0.0,0.0,6,3,2020-06-01
2020,7,PECO,0.0,0.0,5,2,2020-07-01
2020,8,PECO,0.0,0.0,3,2,2020-08-01
2020,9,PECO,0.0,0.0,3,2,2020-09-01
2020,10,PECO,0.0,0.0,2,1,2020-10-01
2020,11,PECO,0.0,0.0,2,1,2020-11-01
2020,12,PECO,0.0,0.0,2,1,2020-12-01
2021,1,PECO,0.0,0.0,4,2,2021-01-01
2021,2,PECO,0.0,0.0,2,1,2021-02-01
2021,3,PECO,0.0,0.0,2,1,2021-03-01
2021,4,PECO,0.0,0.0,2,1,2021-04-01
2021,5,PECO,0.0,0.0,2,1,2021-05-01
2021,6,PECO,0.0,0.0,2,1,2021-06-01
2021,7,PECO,0.0,0.0,2,1,2021-07-01
2022,6,PECO,0.0,0.0,97,45,2022-06-01
2025,10,PECO,0.0,0.0,169,24,2025-10-01
2019,9,PENELEC,74.5,74.5,4,2,2019-09-01
2019,10,PENELEC,82.66666666666667,99.0,3,2,2019-10-01
2019,11,PENELEC,82.66666666666667,99.0,3,2,2019-11-01
2019,12,PENELEC,82.66666666666667,99.0,3,2,2019-12-01
2020,1,PENELEC,74.5,74.5,2,2,2020-01-01
2020,2,PENELEC,1.0347222222222223,0.0,144,53,2020-02-01
2020,3,PENELEC,0.0,0.0,207,55,2020-03-01
2020,4,PENELEC,0.0,0.0,185,54,2020-04-01
2020,5,PENELEC,0.0,0.0,214,55,2020-05-01
2020,6,PENELEC,0.0,0.0,197,55,2020-06-01
2020,7,PENELEC,0.0,0.0,164,53,2020-07-01
2020,8,PENELEC,0.0,0.0,171,54,2020-08-01
2020,9,PENELEC,0.0,0.0,175,55,2020-09-01
2020,10,PENELEC,0.0,0.0,212,56,2020-10-01
2020,11,PENELEC,0.0,0.0,203,56,2020-11-01
2020,12,PENELEC,0.0,0.0,187,56,2020-12-01
2021,1,PENELEC,0.0,0.0,205,56,2021-01-01
2021,2,PENELEC,0.0,0.0,195,54,2021-02-01
2021,3,PENELEC,0.0,0.0,214,54,2021-03-01
2021,4,PENELEC,0.0,0.0,182,53,2021-04-01
2021,5,PENELEC,0.0,0.0,196,53,2021-05-01
2021,6,PENELEC,0.0,0.0,201,53,2021-06-01
2021,7,PENELEC,0.0,0.0,183,53,2021-07-01
2022,6,PENELEC,0.0,0.0,82,39,2022-06-01
2025,10,PENELEC,0.0,0.0,120,21,2025-10-01
2019,9,PPL,64.5,64.5,4,2,2019-09-01
2019,10,PPL,69.33333333333333,79.0,3,2,2019-10-01
2019,11,PPL,69.33333333333333,79.0,3,2,2019-11-01
2019,12,PPL,69.33333333333333,79.0,3,2,2019-12-01
2020,1,PPL,64.5,64.5,2,2,2020-01-01
2020,2,PPL,0.7329545454545454,0.0,176,67,2020-02-01
2020,3,PPL,0.0,0.0,249,68,2020-03-01
2020,4,PPL,0.0,0.0,202,66,2020-04-01
2020,5,PPL,0.0,0.0,237,66,2020-05-01
2020,6,PPL,0.0,0.0,224,66,2020-06-01
2020,7,PPL,0.0,0.0,199,64,2020-07-01
2020,8,PPL,0.0,0.0,196,64,2020-08-01
2020,9,PPL,0.0,0.0,205,66,2020-09-01
2020,10,PPL,0.0,0.0,250,66,2020-10-01
2020,11,PPL,0.0,0.0,241,66,2020-11-01
2020,12,PPL,0.0,0.0,227,66,2020-12-01
2021,1,PPL,0.0,0.0,237,66,2021-01-01
2021,2,PPL,0.0,0.0,231,64,2021-02-01
2021,3,PPL,0.0,0.0,276,64,2021-03-01
2021,4,PPL,0.0,0.0,237,63,2021-04-01
2021,5,PPL,0.0,0.0,256,64,2021-05-01
2021,6,PPL,0.0,0.0,284,62,2021-06-01
2021,7,PPL,0.0,0.0,223,62,2021-07-01
2022,6,PPL,0.0,0.0,97,46,2022-06-01
2025,10,PPL,0.0,0.0,182,27,2025-10-01
